form	lemma	POS	morph
སྐབས་གསུམ་པ་	སྐབས་གསུམ་པ་	NO_POS
།		PUNCT
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
ཀྱི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊིཀ་		NON_WORD
གསུམ་པ་	གསུམ་པ་	NUM
ལམ་	གམ་	PART
གྱི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
གོལ་ས་	གོལ་ས་	VERB
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
འཆད་པ་	འཆད་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
འབྲེལ་	འབྲེལ་	VERB
བཀོད་པ་	བཀོད་པ་	VERB
ས་	གིས་	PART
མཚམས་	མཚམས་	NOUN
སྦྱར་	སྦྱར་	VERB
།		PUNCT
མཚོན་བྱེད་	མཚོན་བྱེད་	OTHER
ཀྱི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་	བཤད་	VERB
།		PUNCT
སྐབས་	སྐབས་	NOUN
ཀྱི་	གི་	PART
གྲངས་	གྲངས་	NOUN
བརྗོད་པ་	བརྗོད་པ་	VERB
ས་	གིས་	PART
མཇུག་	མཇུག་	NOUN
བསྡུ་བ་	བསྡུ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
		
འབྲེལ་	འབྲེལ་	VERB
བཀོད་པ་	བཀོད་པ་	VERB
ས་	གིས་	PART
མཚམས་	མཚམས་	NOUN
སྦྱར་	སྦྱར་	VERB
		
ནི་	ནི་	NO_POS
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
གཞི་	གཞི་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
ལམ་	གམ་	PART
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤེས་པ་	ཤེས་པ་	VERB
ཉིད་	ཉིད་	DET
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བྱམས་མགོན་	བྱམས་མགོན་	OTHER
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
བསྟན་	བསྟན་	VERB
ན་	ནས་	PART
དེ་	སྟེ་	PART
མ་	མ་	PART
ཐག་	ཐག་	VERB
གཞི་	གཞི་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤེས་པ་	ཤེས་པ་	VERB
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
འཆད་	འཆད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཕུང་	ཕུང་	VERB
ཁམས་	ཁམས་	NOUN
སོགས་	སོགས་	DET
གཞི་	གཞི་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
ལམ་	གམ་	PART
གྱི་	གི་	PART
རྟོགས་	རྟོགས་	VERB
རི་	རི་	NOUN
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
		
མཚོན་བྱེད་	མཚོན་བྱེད་	OTHER
ཀྱི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་	བཤད་	VERB
		
ལ་	ལ་	PART
།		PUNCT
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
དངོ་	དངོ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མཁྱེན་པ་	མཁྱེན་པ་	VERB
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དོན་	དོན་	NOUN
བསྡུ་བ་	བསྡུ་བ་	VERB
གཉིས་	གཉིས་	NUM
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
མཐོང་ལམ་	མཐོང་ལམ་	NOUN
མོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
།		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
མཐའ་	མཐའ་	NOUN
གཉིས་	གཉིས་	NUM
ལ་	ལ་	PART
མི་	མི་	PART
གནས་པ་	གནས་པ་	VERB
།		PUNCT
ཉེ་རིང་	ཉེ་རིང་	ADJ
གི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
།		PUNCT
མི་	མི་	PART
མཐུན་	མཐུན་	VERB
ཕྱོགས་	ཕྱོགས་	NOUN
དང་	དང་	NO_POS
གཉེན་པོ་	གཉེན་པོ་	NOUN
སྟེ་	སྟེ་	PART
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
		
རྩ་བ་	རྩ་བ་	NOUN
		
ནི་	ནི་	NO_POS
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
།		PUNCT
ཚུ་རོལ་	ཚུ་རོལ་	NOUN
ཕ་རོལ་	ཕ་རོལ་	NOUN
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	PART
མིན་	མིན་	AUX
།།		PUNCT
དེ་དག་	དེ་དག་	OTHER
བ་	བ་	NOUN
ན་	ལ་	PART
མི་	མི་	PART
གནས་པ་	གནས་པ་	VERB
།།		PUNCT
དུས་	དུས་	NOUN
རྣམས་	རྣམས་	DET
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
ཤེ་	ཤེ་	VERB
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ར་	ལ་	PART
འདོད་	འདོད་	VERB
།།		PUNCT
		
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
རབ་	རབ་	ADV
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ར་	ལ་	PART
འདོད་པ་	འདོད་པ་	VERB
འི་	གི་	PART
བྱང་འཕགས་	བྱང་འཕགས་	NO_POS
ཀྱི་	གི་	PART
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
ཚུ་རོལ་	ཚུ་རོལ་	NOUN
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
མཐའ་	མཐའ་	NOUN
དང་	དང་	NO_POS
ཕ་རོལ་	ཕ་རོལ་	NOUN
མྱང་འདས་	མྱང་འདས་	NOUN
ཀྱི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
ཞིང་	ཅིང་	PART
མཐའ་	མཐའ་	NOUN
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
བ་	བ་	NOUN
ན་	ན་	ADP
འང་	ཀྱང་	PART
མི་	མི་	PART
གནས་པ་	གནས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དུས་གསུམ་པ་	དུས་གསུམ་པ་	OTHER
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
བདེན་	བདེན་	VERB
མེད་	མེད་	VERB
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
དུ་	ལ་	PART
མངོན་སུམ་	མངོན་སུམ་	NOUN
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
བྱང་འཕགས་	བྱང་འཕགས་	NO_POS
